imdb_id,id_kaggle,runtime,original_language,overview
tt6574272,443319,80.0,en,"20 years after three teenagers disappeared in the wake of mysterious lights appearing above Phoenix, Arizona, unseen footage from that night has been discovered, chronicling the final hours of their fateful expedition."
tt6673840,440642,140.0,ru,"March 1965. In the heat of the Cold War, the USA and the USSR are competing for supremacy in space. What both superpowers aim for in this race, is to be the first to have a man walk in outer space. To accomplish that, no price is too high and no risk is too great.  Now it’s up to the unlikely duo of a seasoned war veteran and a hot-headed test-pilot to fulfill this mission. Two men in a tiny spaceship, without proper testing, facing the complete unknown…  They were supposed to do what no man has done before – and no man imagined what would happen next…"
tt5606538,434119,125.0,ko,"When a crime organization from North Korea crosses borders and enters South Korean soil, a South Korean detective must cooperate with a North Korean detective to investigate their whereabouts."
tt4943322,433356,111.0,en,"Lillie, a determined American woman, ventures overseas to join Dr. Jude at a remote medical mission in the Ottoman Empire (now Turkey). However, Lillie soon finds herself at odds with Jude and the mission’s founder, Woodruff, when she falls for the titular military man, Ismail, just as the war is about to erupt."
tt5161058,430263,90.0,ru,"Contemporary Russia. Mitya and Alisa are set to get married. The problem is that Mitya is still married to Vasya, who refuses to grant him a divorce. Can Mitya and his friends convince Vasya to change her mind?"
tt5614612,425942,90.0,es,"Accused of killing his brother during adolescence, Salvador lives alone in the middle of Patagonia. Several decades later, his brother Marcos and his sister-in-law Laura, come to convince him to sell the lands they share by inheritance."
tt5998104,422603,134.0,ml,Aanandam is a 2016 Indian Malayalam campus musical film written and directed by Ganesh Raj in his directorial debut. Vineeth Sreenivasan produces the film under the banner of Habit Of Life with Vinod Shornur under Cast N Crew.
tt3462710,418437,100.0,en,"Julia moves in with her fiancé, David, but his ex-wife and her own haunting past join forces to rock her quiet suburban existence."
tt6003368,417830,91.0,en,A Heffley family road trip to attend Meemaw's 90th birthday party goes hilariously off course thanks to Greg's newest scheme to get to a video gaming convention.
tt0493405,417644,100.0,en,The adventures of two California Highway Patrol motorcycle officers as they make their rounds on the freeways of Los Angeles.
tt5946128,413543,149.0,hi,An unconventional thinker (Shah Rukh Khan) helps a budding cinematographer (Alia Bhatt) gain a new perspective on life.
tt4950110,409502,112.0,en,Based on the inspiring and powerful true story and journal entries of Rachel Joy Scott- the first student killed in the Columbine high school shooting in 1999.
tt3606888,404378,103.0,en,"Based on the international best selling book. The true feel good story of how James Bowen, a busker and recovering drug addict, had his life transformed when he met a stray ginger cat."
