imdb_id,film_title,release_date
tt6574272,Phoenix Forgotten,2017-04-21
tt6673840,The Spacewalker,2017-04-12
tt5606538,Confidential Assignment,2017-01-18
tt4943322,The Ottoman Lieutenant,2017-03-10
tt5161058,"Have Fun, Vasya!",2017-02-16
tt5614612,Black Snow,2017-01-19
tt5998104,Aanandam,2016-10-21
tt3462710,Unforgettable,2017-04-20
tt6003368,Diary of a Wimpy Kid: The Long Haul,2017-05-19
tt0493405,CHiPS,2017-03-23
tt5946128,Dear Zindagi,2016-11-24
tt4950110,I'm Not Ashamed,2016-10-21
tt3606888,A Street Cat Named Bob,2016-11-04
tt3182620,Bitter Harvest,2017-02-23
tt2932536,47 Meters Down,2017-06-15
tt3859980,Mohenjo Daro,2016-08-11
tt4645330,Denial,2016-09-30
tt4481414,Gifted,2017-04-12
tt5592248,The Beguiled,2017-06-23
tt4434004,Udta Punjab,2016-06-17
tt1691916,Before I Fall,2017-03-02
tt4799050,Rough Night,2017-06-15
tt4353996,The King's Choice,2016-09-29
tt5700672,Train to Busan,2016-07-20
tt5442430,Life,2017-03-22
tt4643432,In the Forests of Siberia,2016-06-15
tt5662932,Raman Raghav 2.0,2016-06-24
tt2321405,My Life as a Zucchini,2016-10-12
tt4954522,Raw,2016-10-07
tt2671706,Fences,2016-12-16
tt5091538,Max & Leon,2016-11-01
tt5646136,Hillary's America: The Secret History of the Democratic Party,2016-07-01
tt4581576,Aftermath,2017-04-06
tt4572514,Patriots Day,2016-12-12
tt4651410,Precious Cargo,2016-07-15
tt1711525,Office Christmas Party,2016-11-25
tt4217392,Kung Fu Yoga,2017-01-27
tt4572792,The Book of Henry,2017-06-16
tt4853102,Batman: The Killing Joke,2016-07-21
tt4701660,The Mermaid,2016-02-08
tt5320514,Action Hero Biju,2016-02-04
tt1753383,A Dog's Purpose,2017-01-19
tt4846340,Hidden Figures,2016-12-10
tt5653294,Flight Crew,2016-04-21
tt4877122,The Emoji Movie,2017-07-28
tt3495026,Fan,2016-04-15
tt4687848,Railroad Tigers,2016-12-23
tt5221584,Aquarius,2016-09-01
tt4520364,Morgan,2016-09-01
tt4814290,Te3n,2016-06-10
tt5286444,Neerja,2016-02-19
tt1619029,Jackie,2016-12-02
tt4832640,Sultan,2016-07-06
tt1878870,The Edge of Seventeen,2016-11-18
