imdb_id,avg_rating,vote_count
tt0005078,6.5,2933
tt0012349,8.2,140286
tt0013140,7.0,4197
tt0015400,7.7,7305
tt0015864,8.1,123007
tt0016473,7.1,2390
tt0016641,7.8,8121
tt0016884,7.6,4782
tt0017136,8.3,193100
tt0017423,7.3,1586
tt0018183,7.4,982
tt0018618,6.2,1229
tt0019563,7.2,2045
tt0020960,7.3,6263
tt0021749,8.5,205677
tt0021814,7.4,61821
tt0022958,7.3,21558
tt0023196,6.5,4053
tt0023876,5.8,6272
tt0024034,7.3,13405
tt0024481,7.5,8921
tt0025617,6.5,1807
tt0025878,7.9,33680
tt0026071,7.0,5938
tt0026529,7.4,7491
tt0026752,7.6,25674
tt0027125,7.7,21362
tt0027438,7.0,5638
tt0027690,5.6,1432
tt0027948,6.3,2886
tt0028216,7.1,6350
tt0028333,7.5,15066
tt0029843,7.9,55990
tt0029852,6.8,2391
tt0030993,7.8,29140
tt0031679,8.1,125251
tt0031725,7.8,23806
tt0031971,7.8,56173
tt0032143,7.7,15465
tt0032273,7.0,3988
tt0032553,8.4,247684
tt0032976,8.1,153954
tt0033563,7.2,146407
tt0033729,7.7,27718
tt0033870,7.9,170479
tt0034248,7.3,44490
tt0034746,7.0,4005
tt0034902,5.9,2832
tt0035703,7.1,3625
tt0035884,7.3,7268
tt0035959,6.9,3048
tt0036628,6.4,1995
tt0036775,8.3,173849
tt0037008,7.9,53537
tt0037465,6.3,1775
tt0037884,7.9,41600
tt0037913,7.9,29872
tt0038057,7.7,20207
tt0038109,7.5,54253
tt0038213,7.3,2455
tt0038499,6.7,9893
tt0038650,8.6,525054
tt0039416,7.2,18392
tt0040064,7.0,11098
tt0040369,7.4,20469
tt0040522,8.2,184070
tt0040597,6.8,1205
tt0040694,6.8,5845
tt0040724,7.7,36070
tt0040746,7.9,159801
tt0040897,8.2,136674
tt0041838,6.8,9343
tt0041841,7.0,11794
tt0041866,7.2,20061
tt0042192,8.2,143764
tt0042200,6.9,5468
tt0042876,8.2,188241
tt0043014,8.4,247432
tt0043116,6.1,350
tt0043265,7.7,86519
tt0043278,7.1,38000
tt0043338,8.1,40626
tt0043949,7.1,17492
tt0044030,6.8,5541
tt0044079,7.9,145107
tt0044081,7.9,116979
tt0044177,5.7,374
tt0044672,6.5,16644
tt0045125,7.5,6601
tt0045152,8.3,270964
tt0046126,7.0,20933
tt0046247,6.7,12150
tt0046250,8.0,151883
tt0046303,7.6,45839
tt0046435,7.0,7906
tt0046534,7.0,39873
tt0046672,7.2,38665
tt0046912,8.2,196699
tt0046949,6.5,4672
tt0046969,5.3,1690
tt0047437,7.6,72849
tt0047478,8.6,381832
tt0047494,4.6,1850
tt0047849,7.7,25160
tt0048356,7.7,28567
tt0048728,7.4,83217
tt0048750,7.0,42593
tt0048960,6.7,30768
tt0049223,7.5,55173
tt0049261,7.6,43638
tt0049408,7.4,28620
tt0049452,6.2,4891
tt0049470,7.4,72267
tt0049513,7.3,23008
tt0049778,7.5,9315
tt0049833,7.9,80098
tt0049875,6.8,5478
tt0049934,6.7,11224
tt0050083,9.0,917634
tt0050212,8.1,240587
tt0050629,6.1,4038
tt0051201,8.4,148665
tt0051207,7.4,33180
tt0051380,5.1,6598
tt0051459,7.9,55099
tt0051622,7.1,26683
tt0052225,6.8,10432
tt0052311,7.9,112200
tt0052618,8.1,261554
tt0053125,8.3,358943
tt0053131,7.5,12145
tt0053285,7.2,165993
tt0053290,6.1,3959
tt0053291,8.2,293437
tt0053580,6.8,18563
tt0053604,8.3,207597
tt0053716,5.9,3891
tt0053793,7.7,13617
tt0053804,6.7,12043
tt0053925,6.9,16388
tt0054047,7.7,106188
tt0054167,7.6,41709
tt0054331,7.9,147325
tt0054698,7.5,197876
tt0054953,7.5,57321
tt0054997,7.9,88630
tt0055031,8.3,90513
tt0055047,7.0,9349
tt0055184,7.2,24376
tt0055256,7.8,23712
tt0055257,7.1,14163
tt0055279,6.5,1276
tt0055304,7.0,17409
tt0055312,7.1,8342
tt0055572,7.3,19736
tt0055608,6.0,6848
tt0055614,7.6,124291
tt0055798,7.8,20291
tt0055946,2.3,6234
tt0056085,7.1,24285
tt0056172,8.3,327370
tt0056193,7.5,112008
tt0056197,7.7,60933
tt0056217,8.1,85295
tt0056218,7.9,82254
tt0056241,8.1,21298
tt0056264,7.2,18558
tt0056592,8.3,341913
tt0056663,7.8,36302
tt0056800,6.7,7707
tt0056869,7.6,212101
tt0056923,7.8,89246
tt0056937,7.0,39018
tt0057007,6.7,10154
tt0057012,8.3,535729
tt0057115,8.2,266851
tt0057163,7.8,24882
tt0057193,7.5,48199
tt0057345,7.4,37269
tt0057449,6.5,14322
tt0057546,7.1,109987
tt0057869,7.6,27905
tt0058085,6.7,10686
tt0058329,7.1,55951
tt0058385,7.7,104593
tt0058404,7.6,13546
