company_id,company_name
1645,Scott Free Productions
39644,Cinelou Films
1038,Bazelevs Production
7036,CJ Entertainment
93065,Eastern Sunrise Films
42877,"Yellow, Black & White"
8046,Telefe
33916,A Contracorriente Films
34259,Pampa Films
34625,Directv
79808,Cast N' Crew
82713,Habit of Life
813,DiNovi Pictures
7392,Twentieth Century Fox
6194,Warner Bros.
10424,Primate Pictures
2343,Red Chillies Entertainment
19146,Dharma Productions
78597,Hope Productions
85627,Visible Pictures
85628,All Entertainment
6901,Prescience
6938,Iris productions
78727,Shooting Script Films
34307,Pandastorm Pictures
85732,Devil's Harvest Production
88294,Andamar Entertainment
7405,Dimension Films
13161,Tea Shop & Film Company
63443,The Fyzz Facility
79822,Flexibon Films
2320,UTV Motion Pictures
78259,Ashutosh Gowariker Productions Pvt. Ltd. (AGPPL)
288,BBC Films
6735,Participant Media
8299,Krasnoff Foster Productions
28473,Shoebox Films
43,Fox Searchlight Pictures
7493,FilmNation Entertainment
8569,Dayday Films
89578,Grade A Entertainment
70,American Zoetrope
10146,Focus Features
3750,Balaji Motion Pictures
7435,Phantom Films
10991,Jon Shestack Productions
63484,Awesomeness Films
5752,Sony Pictures Entertainment
76778,Paulilu Productions
6417,Film i Väst
16076,Newgrange Pictures
59365,Paradox Film
20064,NEW
5,Columbia Pictures
6277,Skydance Productions
7431,Sony Pictures Entertainment (SPE)
82925,Nvizage
57752,Nord-Ouest Films
4621,Gébéka Films
7034,Rita Productions
42171,Blue Spirit Animation
309,Angoa-Agicoa
851,MEDIA Programme of the European Union
856,Wild Bunch
5358,Canal+
6961,Rouge international
7466,Radio Télévision Belge Francophone (RTBF)
10611,Ciné+
11796,Centre du Cinéma et de l'Audiovisuel de la Fédération Wallonie-Bruxelles
11921,Le Tax Shelter du Gouvernement Fédéral de Belgique
18367,Centre National de la Cinématographie (CNC)
24430,BE TV
33956,La Wallonie
49473,Frakas Productions
52596,Ciclic - Région Centre
72497,Bruxelles Capitale
88099,Casa Kafka Pictures Movie Tax Shelter Empowered by Belfius
88100,VOO
88101,Arte / Cofinova 12
88102,Torino Film Lab
4,Paramount Pictures
258,Scott Rudin Productions
72933,Bron Creative
79426,MACRO
694,StudioCanal
3823,TF1 Films Production
7561,Nexus Factory
19037,Umedia
22997,Légende Films
87502,Blagbuster
87503,Le 12e Art
87504,C2M Productions
290,Ingenious Media
7503,Protozoa Pictures
36109,thefyzz
55528,Oak Productions
73685,Emmett Furla Oasis Films (EFO Films)
81755,Pacific View Management
81756,Union Editorial
86895,Hat and Cat Productions
5490,CBS Films
8537,Closest to the Hole Productions
8539,Leverage Entertainment
13778,Bluegrass Films
72441,TIK Films
91797,Hutch Parker Entertainment
6666,Herrick Entertainment
23735,Mann Made Films
76991,Highland Film Group (HFG)
85885,Lionsgate Premiere
27,DreamWorks SKG
7293,DreamWorks Pictures
73436,Shinework Media
73437,Taihe Entertainment
737,Sidney Kimmel Entertainment
10138,Double Nickel Entertainment
429,DC Comics
2785,Warner Bros. Animation
5635,China Film Group
73777,Full On Studios
93047,Pauly Jr. Pictures
33,Universal Pictures
56,Amblin Entertainment
1271,Pariah Entertainment Group
4234,Original Pictures
7294,Reliance Entertainment
10221,Walden Media
11733,Pariah
711,Fox 2000 Pictures
7076,Chernin Entertainment
83024,Levantine Films
3467,Three T Productions
6453,Studio Trite
19126,VGTRK
77594,Vserossiyskaya Gosudarstvennaya Televizionnaya i Radioveshchatelnaya Kompaniya (VGTRK)
2251,Sony Pictures Animation
3407,Shanghai Film Group
36958,Sparkle Roll Media
72091,Beijing Going Zoom Media
90633,Shan Dong Satellite TV Media
90634,Mango Entertainment
90635,J.Q. Pictures
90636,Nextainment Pictures (Wuxi)
8997,SBS Productions
10954,Globo filmes
81442,CinemaScópio Produções
3408,Twentieth Century-Fox
22213,TSG Entertainment
72023,Endemol India
78688,Blue Waters Motion Pictures
78691,Kross Pictures
12154,Fox Star Studios
71966,Bling Unplugged
729,Why Not Productions
8186,Bliss Media
10285,LD Entertainment
24459,Fabula
84751,Endemol Shine Studios
85768,Jackie Productions (II)
1569,Yash Raj Films
18,Gracie Films
47729,STX Entertainment
78996,Huayi Brothers Pictures
90185,BillBlock Media
5630,Non-Stop Productions
83,France 2 Cinéma
48188,Transfilm
54226,France Télévisions Distribution
85823,Archery Pictures
2612,Les Productions du Trésor
6663,C-Films AG
37732,Wytwórnia Filmów Dokumentalnych i Fabularnych (WFDiF)
72890,Telewizja Polska	(koprodukcja)
74691,Polski Instytut Sztuki Filmowej (współfinansowanie)
74925,Platige Image (koprodukcja)
74926,HBO Polska (koprodukcja)
3522,T-Series
3942,Hari Om Entertainment Co.
35063,Cape Of Good Films
5870,Studio Canal
9996,Syncopy
41624,RatPac-Dune Entertainment
67254,Kaap Holland Film
58,Sony Pictures Classics
201,Arte
1618,Komplizen Film
7025,Westdeutscher Rundfunk (WDR)
16110,Südwestrundfunk (SWR)
52412,Coop99 Filmproduktion
77154,KNM
77155,MonkeyBoy
79268,HiFilm
94,ARTE France Cinéma
311,Procirep
1666,Rhône-Alpes Cinéma
4247,Filmförderungsanstalt (FFA)
48663,Detailfilm
51696,CG Cinéma
78935,Cofinova 12
78936,Cinémage 10
85253,Soficinéma 11 Développement
5545,Mobra Films
306,Twentieth Century Fox Film Corporation
61791,Feigco Entertainment
70186,Finding Cinema
12466,Wunderbar Films
14143,Grass Root Film Company
35124,Lyca Productions
72028,Mindstream Productions
20580,Amazon Studios
23437,K5 Film
26995,Animal Kingdom
86041,Inkjet Productions
89687,Rohit Shetty Productions
3281,GK Films
11395,ImageMovers
83645,Huahua Media
1632,Lionsgate
513,Cosmo-Films
1785,Likely Story
42379,Filmwave Pictures
49152,PalmStar Media
68417,Distressed Films
24012,Indomitable Entertainment
31279,Potemkino
43274,Hurricane Films
8676,uFilm
10159,nWave Pictures
10160,Illuminata Pictures
336,Wiedemann & Berg Filmproduktion
1107,Seven Pictures
60227,Two Oceans Production (TOP)
12630,Studio Green
55821,2D Entertainment
9044,V. Creations
30131,Southpaw Entertainment
85283,Los Angeles Media Fund (LAMF)
4054,Mandarin Films Distribution Co.
9342,Central Partnership
171,Malpaso Productions
7383,"Kennedy/Marshall Company, The"
28732,RatPac Entertainment
65359,Flashlight Films
66728,Rajshri Productions
3171,SLB Films
3653,Eros International
7342,Atípica Films
29566,Atresmedia Cine
31899,Sacromonte Films
64359,Zeta Zinema
72299,Вольга
11835,Y NOT Studios
14294,Thirukumaran Entertainment
44163,Rajkumar Hirani Films
2575,21 Laps Entertainment
12178,Red Hour Films
19632,3311 Productions
88548,Story Ink
23,Imagine Entertainment
433,Weed Road Pictures
2531,Media Rights Capital
12,New Line Cinema
79,Village Roadshow Pictures
2609,De Line Pictures
16313,Open Road Films (II)
20788,Gulfstream Pictures
50491,Capacity Pictures
50492,May Day Movies
60016,Rice Films
92143,Triad Film Works
92144,Beatnik Films
2674,Telecinco Cinema
7345,Vaca Films
10031,Morena Films
29564,Telefónica Studios
73567,Coproducción España-Argentina-Francia
73568,K&S Films
17653,22h22
63051,Lucky Man Films
829,Vertigo Entertainment
6302,Room 101
15159,Snoot Entertainment
88016,Hurwitz Creative
44306,Rockline Entertainments
59293,Kabir Khan Films
59294,Salman Khan Films
118,Det Danske Filminstitut
758,TV2 Danmark
75414,Zentropa Entertainments20
79986,Pure Flix Productions
41077,A24
77939,BlackBird
